winpercent, oppwinpercent, weather, temperature, numinjured, oppnuminjured, startingpitcher, oppstartingpitcher, dayssincegame, oppdayssincegame, homeaway, rundifferential, opprundifferential,winner
0.757824,0.411197,-1,66.5677,1,1,2,4,2,3,1,24,23,1
0.366008,0.290063,-1,77.6033,0,1,1,3,4,1,0,64,50,0
0.484743,0.481665,1,59.2978,2,1,2,?,4,1,0,81,80,1
0.417295,0.158735,-1,?,1,0,5,5,2,3,1,57,24,1
0.327304,0.357546,-1,62.708,?,3,2,4,1,2,1,69,?,0
0.751417,0.150103,0,77.6454,0,?,5,4,1,3,1,62,39,0
0.237215,0.551628,1,51.5969,1,1,2,5,4,4,0,62,59,1
0.219569,?,1,66.7072,1,2,3,3,3,2,1,77,20,1
0.600351,0.0507335,0,74.2672,2,3,3,4,3,2,1,53,51,0
0.563637,0.215543,0,74.265,0,0,2,4,3,1,0,62,56,0
0.865288,0.597173,0,63.9149,1,1,4,5,5,4,0,63,30,1
0.722031,0.172046,1,71.7677,2,0,3,1,2,0,0,?,78,0
0.598714,0.588395,0,61.1912,2,2,2,1,3,4,0,91,17,1
?,0.519231,-1,62.2628,1,2,1,2,4,2,1,66,49,0
0.689737,0.565915,1,58.1592,1,2,5,2,4,2,0,23,51,0
0.315025,0.446907,-1,72.7016,0,1,?,1,2,4,0,62,85,0
0.591701,0.487105,1,72.693,3,1,2,5,4,2,0,36,30,1
0.526753,0.18488,1,65.3903,1,4,1,4,3,2,0,9,84,0
?,0.73466,1,63.4985,0,1,4,4,3,2,1,50,36,0
0.49375,0.11559,?,62.4988,1,0,?,1,5,4,0,-1,51,0
0.394739,0.252903,-1,72.5832,1,4,5,5,2,3,1,65,9,1
0.455797,0.373768,1,64.1883,2,2,3,2,5,?,1,?,62,1
0.481532,0.699253,0,53.2788,2,2,4,2,3,3,0,29,31,1
0.555021,0.748283,0,70.1162,0,3,1,4,3,2,0,28,38,0
0.608638,0.19884,-1,63.3014,1,1,5,3,4,2,1,63,53,0
0.550961,0.109378,1,73.3791,3,1,3,3,3,3,0,?,53,0
?,?,-1,?,1,2,1,1,3,5,0,44,20,0
0.0210159,0.301308,0,65.1552,?,3,2,2,3,?,0,16,84,0
0.613729,0.702872,0,74.0976,3,0,3,4,1,2,0,60,51,1
0.649255,0.422628,?,67.0746,1,1,5,2,2,2,0,22,83,1
0.652153,0.397496,1,57.522,1,?,4,5,2,2,1,96,46,1
0.577621,0.418411,0,44.6735,?,2,2,3,3,4,0,25,63,0
0.361472,0.759605,-1,66.7377,1,1,4,5,4,2,0,-1,?,1
0.534538,0.527016,0,59.8708,1,1,1,4,2,2,0,69,?,1
0.0748146,0.260402,0,73.1097,1,1,2,3,?,2,1,?,36,1
0.804993,0.118762,0,70.8539,0,2,1,1,3,1,1,28,16,1
0.46168,?,1,80.0294,3,2,4,5,4,2,0,30,90,1
0.0167203,0.489636,0,54.311,2,2,5,1,1,1,0,24,55,1
0.527958,0.852545,0,71.1654,2,2,5,5,2,2,1,54,43,1
0.962447,0.863754,0,65.276,0,1,1,1,4,?,1,56,53,0
0.655949,0.400666,1,55.0214,1,0,2,5,2,2,1,82,68,1
0.19993,0.569531,1,69.8032,3,1,5,4,5,3,0,?,37,1
0.791278,0.391344,1,75.3999,1,2,3,5,2,2,1,72,36,0
0.0568677,0.143379,1,60.0945,2,2,1,3,2,4,1,48,50,1
0.522926,0.245145,0,62.7543,0,0,2,4,1,2,1,?,?,0
0.621787,0.882688,1,65.5427,0,2,1,2,3,2,1,55,42,0
0.557617,0.440138,-1,60.4217,0,2,3,5,2,3,1,18,56,0
0.835339,0.458912,1,64.87,1,0,3,4,2,2,0,77,27,1
0.765244,0.585497,0,54.9468,2,1,4,1,3,3,0,70,52,1
0.336493,0.379537,?,68.2432,3,0,5,5,3,?,0,45,49,1
0.237051,0.465111,0,61.0949,1,1,5,3,1,2,1,33,53,1
0.506941,0.432173,-1,62.4435,1,1,5,1,3,3,?,61,49,1
0.513491,0.657612,0,66.1431,1,2,1,2,2,2,0,66,69,0
0.538016,0.254194,-1,63.6671,0,1,2,1,2,1,1,?,31,0
0.506862,0.732398,1,66.6453,1,2,2,4,1,1,1,104,37,0
0.53958,0.166376,1,57.5807,2,?,2,3,3,3,0,33,18,0
0.642499,0.115362,0,74.9129,0,1,4,4,?,3,1,23,71,0
0.853245,0.741018,1,54.8906,3,2,2,4,2,2,0,26,59,1
0.544078,0.787184,?,65.3771,?,0,5,3,2,2,1,44,53,1
0.154418,0.698293,-1,?,1,1,5,2,2,3,1,27,36,1
0.787674,?,1,56.7909,4,2,4,5,3,2,1,86,40,1
0.766419,0.518703,1,63.9294,?,3,2,2,2,0,1,42,26,0
0.676489,0.524039,0,56.2443,-1,1,3,3,3,2,0,28,27,0
0.134705,0.535366,0,72.3854,1,1,4,1,1,2,1,33,44,1
0.418039,-0.0322602,1,69.0466,2,4,1,4,2,2,0,60,22,1
0.405352,0.365301,-1,56.064,2,1,3,5,1,4,1,?,60,1
0.556639,0.646263,1,73.1288,1,0,?,1,?,1,1,?,54,1
0.234402,0.674497,-1,72.2179,3,2,5,5,3,2,0,37,56,1
0.659305,1.04335,0,69.3089,3,3,4,3,1,?,1,27,19,1
0.157657,0.612193,-1,72.459,3,0,4,?,3,4,0,35,82,1
0.537286,0.271655,1,57.3731,2,2,2,1,2,2,0,33,67,1
0.430647,0.621604,1,52.4508,0,1,?,?,3,1,0,69,15,1
0.426563,0.66377,-1,69.9618,2,2,2,5,?,1,0,52,43,1
0.807364,?,0,67.865,3,2,3,3,4,2,1,51,28,1
0.328997,0.577196,0,74.4169,3,1,1,5,4,2,0,69,28,1
0.575168,0.630457,0,61.63,3,2,1,3,1,2,1,64,19,1
0.39444,0.16504,-1,69.2016,1,1,4,5,3,?,0,82,46,1
0.674672,0.710012,1,68.7723,1,2,1,2,4,3,1,27,43,0
0.604215,0.403632,0,67.4122,1,2,4,3,3,2,1,72,59,0
0.560085,0.566141,-1,67.7109,0,2,4,1,1,2,1,90,51,0
0.370864,0.791351,-1,55.3373,3,1,4,3,4,2,0,85,47,1
0.90407,0.25884,-1,?,2,3,4,4,2,2,0,26,43,0
0.802577,0.444389,0,56.1628,2,-2,1,1,4,2,0,-5,43,1
0.522584,0.786796,0,67.835,0,1,5,3,2,3,1,31,70,0
0.629498,0.729337,0,52.6875,2,3,5,4,2,2,?,39,52,0
0.628244,0.380616,-1,56.8159,2,1,2,4,2,3,0,?,92,1
0.753546,0.302722,-1,65.8604,1,2,5,3,3,4,0,64,42,0
0.535283,?,1,59.8379,1,2,2,5,?,1,1,?,45,0
0.842281,0.70466,-1,57.9846,-1,2,5,4,2,2,1,20,52,0
0.211277,0.291951,0,60.0133,1,-1,5,5,2,2,0,?,22,1
0.66166,0.652283,0,61.2619,2,1,2,1,1,3,1,58,51,1
0.211193,0.481987,0,62.405,3,2,3,4,2,3,1,27,75,1
0.519296,0.494978,-1,?,3,3,5,1,5,2,1,47,47,1
0.494705,1.0802,-1,68.3584,1,2,5,3,4,3,1,15,24,0
0.276416,0.289043,-1,66.2063,?,2,4,1,3,4,0,50,61,0
0.885642,0.344689,-1,59.0448,1,2,4,5,1,3,0,50,-9,1
0.53664,0.581357,-1,71.448,1,2,3,1,3,2,?,38,72,0
0.39131,0.521745,0,58.9323,1,-1,2,1,3,3,0,2,37,1
0.360421,0.289546,0,61.7484,3,1,3,?,4,2,0,69,42,1
0.540725,0.297468,1,73.2213,1,1,4,5,2,2,0,36,65,0
0.141008,0.16107,-1,56.7738,-1,2,1,4,2,3,?,36,13,1
0.549919,0.27246,-1,51.321,2,2,4,4,4,4,0,12,70,0
0.449051,0.703911,-1,71.87,1,1,3,4,2,1,?,47,81,1
0.684151,0.591321,0,70.2279,1,3,5,2,2,2,1,58,44,0
0.71551,0.725744,0,61.8092,1,2,2,2,6,3,0,?,75,0
0.453765,0.408969,0,63.2336,0,2,?,3,2,2,1,84,4,1
0.576653,0.712606,-1,73.2204,1,0,5,4,2,3,1,60,40,1
0.321587,0.293539,-1,58.8166,1,2,?,4,2,2,0,56,38,0
0.216132,?,0,?,1,2,2,4,3,2,0,67,42,0
0.321856,0.55816,1,?,4,?,4,2,4,1,0,72,80,1
0.507697,?,1,56.5912,0,2,4,4,?,2,0,71,68,0
0.176576,0.0477101,-1,55.7795,4,2,5,4,3,1,0,67,24,1
0.389117,0.597689,1,57.8635,1,3,4,4,2,5,0,46,56,0
0.546415,0.508713,1,57.4671,0,1,4,3,3,3,1,47,51,0
0.291748,0.313047,0,47.6941,2,2,5,3,0,2,1,35,50,1
0.272476,0.351607,-1,62.3981,3,1,4,4,3,3,1,43,41,1
0.594089,0.402039,1,?,3,3,5,1,3,2,0,35,71,1
0.875834,0.31514,0,58.5491,?,1,2,3,2,3,1,37,20,1
0.770442,0.765768,0,54.3171,2,3,?,3,3,3,1,9,25,0
0.724266,0.198515,1,55.7819,2,1,4,4,2,0,1,10,32,0
0.279966,0.466426,-1,75.4822,0,1,2,2,1,1,0,42,65,0
1.0226,0.616148,-1,61.2231,2,2,1,2,2,2,0,41,54,1
0.461586,0.354274,1,73.4669,?,1,?,4,2,3,1,50,49,1
0.32415,0.549061,0,51.1242,1,3,4,2,1,3,0,43,33,0
0.42305,0.656322,0,72.2693,1,1,1,4,4,1,0,21,28,1
0.753364,0.406553,0,69.6993,0,3,4,4,6,2,1,45,40,0
0.565695,0.511711,1,62.061,1,2,5,4,1,3,1,48,11,1
0.323944,0.350793,-1,79.6547,3,0,4,4,3,4,1,71,56,1
?,0.574188,0,?,2,0,?,2,4,1,0,65,37,1
0.349501,0.220939,0,62.1218,3,3,4,3,1,1,1,5,47,0
0.471188,0.705653,0,66.7077,3,1,?,5,4,3,0,70,33,1
0.415961,0.50044,?,66.3751,0,2,2,4,2,?,1,75,54,0
0.120076,0.478199,0,54.3727,1,1,4,2,4,3,0,?,70,1
0.967259,0.529949,0,59.8184,0,3,5,3,2,2,1,38,58,0
0.303789,0.366634,-1,56.7184,2,2,2,3,2,3,0,53,19,1
0.475341,0.46184,?,67.639,1,1,3,3,2,2,1,44,60,1
0.631893,0.416072,0,60.2075,3,2,3,1,3,4,0,45,54,1
0.332323,0.537496,1,94.2076,1,1,5,3,3,4,0,90,70,1
0.375878,0.456231,-1,63.7221,0,0,5,5,2,5,1,68,84,1
0.838059,-0.00431852,-1,?,1,1,?,5,1,3,?,26,17,1
0.861814,0.759898,-1,63.7628,1,2,5,3,2,2,0,52,51,0
?,0.532599,-1,66.081,?,1,2,1,4,2,0,47,113,1
0.34966,0.892473,1,73.0901,0,?,?,4,3,3,1,38,79,0
0.61871,0.352402,0,73.4923,2,2,4,5,0,1,0,39,64,1
0.861058,0.422668,0,62.2387,2,4,5,2,2,2,1,45,66,0
0.772117,0.740847,0,71.4098,1,3,?,1,2,3,1,74,37,0
0.700376,0.692388,0,71.2099,1,0,4,3,?,3,0,75,62,1
0.359727,0.502872,-1,67.7204,1,2,2,4,4,2,1,?,71,0
0.320848,0.481535,-1,62.7135,3,1,5,4,2,3,0,53,54,1
0.721569,0.669289,0,65.3575,1,2,4,5,2,2,0,36,46,0
0.303974,0.473679,0,66.391,1,3,5,3,2,3,0,56,60,0
0.40903,0.597952,-1,68.2083,3,2,?,5,3,3,1,64,56,1
0.492202,0.308856,1,68.4184,2,2,2,4,1,2,0,45,73,1
0.439234,0.468887,-1,84.6181,?,1,?,2,2,3,1,41,41,1
0.404212,0.499141,1,58.3729,2,2,1,3,4,3,1,61,30,1
0.365339,0.985426,?,67.667,2,1,3,5,2,2,1,45,48,1
0.918341,0.646148,0,71.2743,1,1,2,4,2,1,0,?,43,1
0.366195,0.353471,-1,62.005,0,0,1,4,2,3,0,44,72,1
0.747373,0.747162,1,67.8816,1,0,?,4,4,4,1,48,72,1
0.412132,0.507406,0,53.8519,2,3,2,5,1,3,0,58,63,0
0.514732,?,-1,63.8109,1,1,3,5,2,3,0,81,35,0
0.370386,0.318896,0,69.1177,1,2,2,2,3,3,0,71,23,1
0.44245,0.642705,0,53.2998,2,0,5,3,3,3,1,53,112,1
0.532004,0.808185,0,78.5482,?,1,5,5,2,3,0,28,48,1
0.579049,0.475687,1,71.7256,1,1,4,1,4,3,0,67,41,1
0.475144,0.405408,-1,?,2,1,2,4,3,2,1,77,60,1
0.641558,?,1,62.512,?,0,3,5,4,1,0,50,49,1
0.208449,0.179453,0,69.4128,3,1,3,1,2,3,0,10,73,1
0.447595,0.150564,1,58.6355,1,0,1,4,3,1,1,52,43,0
0.429358,0.870081,1,63.9534,3,2,1,?,4,3,1,87,88,1
0.714936,0.441176,-1,70.2522,2,3,3,5,3,3,0,22,19,0
0.871241,0.686422,-1,67.6327,3,1,2,4,2,3,1,56,23,1
0.757393,0.104476,1,62.5736,1,3,4,3,2,3,1,60,52,0
0.0129407,0.156014,1,78.4143,0,1,3,4,2,3,0,90,12,1
0.118093,0.216368,-1,65.5701,1,1,3,5,1,3,1,44,54,1
0.296197,0.451504,?,63.5499,1,3,3,2,5,3,1,12,78,0
0.698963,0.489389,1,62.7702,0,2,1,3,4,3,0,?,61,0
0.415584,0.785041,1,77.5971,1,3,1,3,3,3,0,52,12,1
0.699689,0.423142,?,71.198,1,0,5,3,1,2,1,51,57,1
0.773191,0.260002,0,64.9177,2,1,4,4,2,4,1,49,74,0
0.70621,0.380021,0,58.8329,3,2,4,2,2,2,?,29,30,1
0.54724,1.00286,0,50.5699,2,2,1,5,4,4,1,92,35,1
0.52261,0.392289,-1,59.9161,1,0,2,1,2,4,1,45,26,1
0.498949,0.516944,0,62.4655,1,2,2,2,2,1,1,65,63,0
0.166868,0.50794,1,70.7673,1,0,5,2,1,2,1,?,69,1
0.574974,0.60901,?,67.8684,1,?,?,4,3,4,0,60,32,1
0.178554,0.258944,0,72.947,-1,2,4,5,2,3,0,63,53,0
0.733,0.5685,-1,?,3,2,5,3,?,2,0,29,51,1
0.506329,0.262308,0,60.5419,1,2,5,1,2,3,1,47,21,0
0.544464,0.709215,-1,72.5096,1,1,2,3,?,4,0,80,59,1
0.653972,0.588243,-1,63.8247,2,3,3,2,2,2,1,30,63,0
0.818279,0.523697,0,78.0223,1,0,2,5,2,4,0,64,65,1
0.480194,0.570904,1,55.8095,1,2,2,5,1,3,0,57,77,0
0.199334,0.470756,1,74.1984,1,1,5,5,2,2,0,44,38,1
0.37389,0.419406,0,52.8191,1,1,2,1,4,0,0,54,34,1
0.634834,0.0154167,-1,60.509,1,2,4,2,2,4,1,27,36,0
0.525511,0.512571,1,65.6498,1,2,5,2,2,2,1,41,64,0
0.41495,0.592349,1,65.5803,1,0,5,1,3,2,1,35,87,1
0.665193,0.476483,1,62.3871,1,2,4,4,3,1,0,67,29,0
0.626341,0.781298,0,71.0878,1,2,3,1,1,1,1,?,61,0
0.733424,0.538267,-1,76.5615,2,2,4,4,1,1,0,47,25,1
0.418091,0.37216,1,53.66,2,1,5,1,3,3,0,49,50,1
0.531706,0.703616,1,73.1721,1,2,1,3,3,1,0,69,39,0
0.0436592,0.713828,1,53.2003,2,1,5,1,1,2,0,34,66,1
0.568586,0.487294,0,61.2811,?,1,2,2,2,2,1,74,64,1
0.863633,0.517362,0,?,?,2,4,2,5,4,1,26,79,0
0.721891,0.929873,-1,78.9821,1,2,1,5,3,4,0,50,45,0
0.580092,0.474367,0,67.6305,?,1,3,3,2,2,1,67,13,1
0.56699,0.604875,1,70.8657,1,1,4,3,4,3,0,60,?,1
0.47053,0.593036,-1,64.652,2,1,5,3,4,3,1,78,55,1
0.384327,0.698392,1,63.8819,3,2,3,1,3,2,0,51,67,1
0.601705,0.388745,-1,63.3733,1,1,4,1,2,1,?,60,46,1
0.385473,0.356917,-1,71.3928,3,0,2,3,1,2,0,?,45,1
0.242167,0.475358,0,?,2,2,1,2,3,2,?,75,62,1
0.540278,0.36535,-1,53.0479,0,2,3,1,3,3,1,?,61,0
0.659876,0.877725,0,68.7395,1,0,1,3,4,3,1,79,?,1
0.483368,0.573469,-1,67.3328,1,1,4,?,3,1,1,?,42,1
0.435615,0.72873,0,52.229,2,1,3,3,1,4,?,32,61,1
0.534298,0.491662,-1,70.3947,2,0,2,3,4,2,1,42,37,1
0.914556,0.524938,0,69.3076,1,3,5,5,1,?,1,69,19,1
0.74075,0.256859,0,62.2156,1,0,3,5,2,1,0,27,55,1
0.0412266,0.49334,?,58.85,3,2,5,5,3,3,0,?,89,1
0.610096,0.571013,1,56.3079,1,?,2,?,2,2,0,52,29,1
0.192462,0.419796,0,53.8481,1,1,2,2,2,3,1,?,?,1
0.65206,0.576819,0,49.2141,1,4,1,2,?,2,0,37,46,0
0.795795,0.581655,?,60.952,2,2,1,1,1,3,1,43,47,1
0.48935,0.418541,0,73.1076,1,2,2,3,3,1,0,13,46,0
0.292526,0.395836,0,73.8412,1,0,1,3,2,3,0,40,46,1
0.604331,0.373745,0,63.3708,2,0,2,1,2,2,1,69,28,1
0.505658,0.391979,1,62.6811,1,1,1,4,4,2,0,66,48,1
0.555486,0.340654,1,?,0,2,1,4,3,4,1,34,35,0
0.397287,0.42807,1,56.5053,3,?,5,4,2,1,0,44,?,1
0.6051,0.637686,1,71.3759,4,2,4,4,2,2,1,62,39,1
0.562695,0.344237,1,68.0351,2,0,3,3,3,4,0,44,63,1
0.506862,0.639504,-1,54.0984,1,3,1,5,1,3,0,79,72,0
0.62674,0.365757,0,68.4387,1,2,?,2,2,2,1,67,40,0
0.379312,0.925892,1,70.5398,3,2,1,4,3,3,0,35,42,1
0.241625,0.585593,-1,73.2154,1,2,3,2,3,2,1,72,86,0
0.66591,0.361097,?,64.4077,2,1,5,1,3,2,0,28,58,1
0.662315,0.463193,1,68.6204,0,4,4,2,3,?,0,44,48,0
0.587796,0.240053,-1,54.5171,2,2,4,5,2,3,1,48,8,1
0.277056,0.333439,0,68.4589,3,2,4,4,4,3,1,17,54,1
0.820812,0.411837,-1,57.3375,1,2,3,3,1,2,1,40,43,0
?,0.483163,0,62.6823,2,1,4,1,4,2,1,57,?,1
0.171621,0.064302,-1,69.6002,0,?,1,2,2,2,1,?,40,0
0.325778,0.527052,-1,?,2,1,2,1,2,2,0,?,?,1
0.624825,0.668823,1,66.7768,1,2,5,4,2,3,0,18,52,0
0.43175,0.778132,1,56.5621,2,1,5,3,0,1,1,?,24,1
0.441921,1.03602,?,64.8631,2,2,5,2,4,2,1,46,5,1
0.139807,0.547049,-1,73.9275,1,2,5,1,3,3,?,20,10,0
0.281797,0.620535,-1,87.2935,0,3,2,5,3,3,0,28,42,0
0.472262,0.334987,1,77.1504,3,2,5,2,5,4,1,15,64,1
0.538014,0.818456,1,78.0107,1,1,?,2,3,?,0,20,39,1
0.399857,0.591523,-1,56.3549,2,1,3,5,3,3,1,64,77,1
0.566333,0.703235,0,61.2226,3,2,4,5,3,3,0,14,58,1
0.399986,0.639377,1,69.8527,1,3,1,1,3,?,1,40,37,0
0.478278,0.686161,1,60.7684,1,1,4,5,2,2,1,36,24,1
0.436889,0.184521,1,63.3838,2,2,3,4,2,3,1,80,77,0
0.480742,0.66174,1,?,0,2,4,3,2,1,0,37,46,0
0.671273,0.421925,0,60.7647,1,1,3,1,4,2,0,52,64,1
0.271504,0.374636,?,59.1911,1,2,4,4,3,5,0,70,43,0
0.274498,0.719196,-1,63.1968,3,1,4,3,5,3,0,66,40,1
0.307522,0.212064,1,73.2928,1,1,3,?,3,4,0,22,43,1
0.629315,0.207323,-1,68.2958,1,1,1,4,2,1,0,58,44,0
0.350959,0.646735,0,63.2697,3,-1,2,2,1,1,0,27,58,1
?,0.243532,-1,67.44,1,2,5,5,2,5,1,45,48,0
0.526609,0.364826,-1,61.3738,3,0,3,1,0,2,0,91,16,1
0.178493,0.40817,-1,66.8042,1,2,4,4,4,3,1,38,39,0
0.320436,0.246774,-1,63.2927,1,2,?,1,2,2,1,40,36,0
0.337345,0.7769,0,72.3193,3,1,3,1,4,3,1,71,74,1
0.450884,0.335253,?,58.3234,0,1,1,4,3,1,0,59,61,0
0.368693,0.360876,1,68.1053,1,1,1,2,3,1,1,33,40,1
0.37377,0.588695,1,59.4825,1,3,4,5,4,1,0,58,43,0
0.812041,0.581759,0,72.0712,1,3,2,5,3,2,1,61,36,0
0.608732,0.551192,-1,67.0057,1,1,5,3,2,3,1,70,17,1
0.198457,0.511851,1,71.4659,?,0,4,4,3,3,1,30,31,1
0.694608,0.617305,-1,77.2336,1,2,1,2,2,2,1,55,55,0
0.603998,0.519524,-1,50.1911,2,1,3,4,2,3,0,33,41,1
0.567889,0.524123,0,72.0132,1,2,1,4,5,2,0,34,33,0
0.724242,0.44099,0,62.4394,2,1,2,2,3,1,0,43,66,1
0.422943,0.464918,0,54.7052,2,2,5,4,3,1,0,49,39,1
0.308198,0.617575,0,66.1201,1,0,2,1,3,3,0,28,72,1
0.287143,0.723272,1,66.2316,3,1,5,2,1,3,0,50,55,1
0.534101,0.509951,1,65.1502,2,0,2,?,2,2,0,31,45,1
0.355121,0.755194,-1,?,1,3,5,4,2,4,0,90,70,0
0.941387,0.604773,1,57.8921,1,0,4,2,3,2,1,34,79,1
0.281828,0.518627,-1,63.6198,1,1,2,3,0,3,0,60,?,1
0.565523,0.773999,-1,65.163,2,2,5,3,?,2,1,58,63,1
0.393104,0.227534,0,61.9085,?,0,1,4,3,2,1,52,44,1
0.288643,?,-1,59.9871,3,1,4,2,2,3,1,3,?,1
0.497827,0.523665,1,65.2608,1,2,5,3,2,3,0,58,23,0
0.2161,0.44627,-1,60.179,3,1,5,4,3,?,0,55,56,1
0.207761,0.612789,1,70.8868,1,-1,3,3,3,1,0,75,51,1
0.173205,0.464504,-1,63.9495,-1,2,5,3,3,2,0,55,35,0
0.865211,0.679629,0,51.3275,1,2,1,3,1,0,0,44,46,0
0.179523,0.307512,-1,71.2952,2,3,1,4,1,2,?,36,32,0
0.532083,0.384405,-1,69.0558,4,2,2,?,3,0,1,46,38,1
0.517897,0.173297,-1,71.7978,2,2,2,4,1,2,1,45,60,0
0.325017,0.575361,0,71.448,?,0,5,1,3,3,?,44,19,1
0.785232,0.543333,0,56.2991,1,?,5,1,2,2,0,49,73,1
0.398134,0.539237,0,75.1335,0,1,2,4,1,3,1,39,97,0
0.413568,0.528638,-1,64.4107,3,1,3,1,3,3,0,38,?,1
0.533065,0.612483,0,59.307,1,1,1,4,3,2,0,57,62,1
0.728998,0.221622,0,53.9221,1,1,2,5,3,2,1,39,22,1
0.627783,0.479523,0,61.8759,2,1,1,5,3,2,1,31,14,1
0.604169,0.208318,-1,63.9233,1,2,4,5,2,3,0,27,42,0
0.369853,0.395116,1,74.7767,2,1,1,1,3,3,1,78,64,1
0.705604,0.563851,0,63.573,1,2,3,5,4,4,0,61,26,0
0.678353,0.429692,?,73.0894,2,-1,4,1,2,4,1,32,50,1
0.094415,0.358538,0,?,3,1,1,3,3,2,0,68,21,1
0.521491,0.0859274,-1,61.0166,2,0,5,2,3,?,0,33,43,0
0.314576,0.378867,0,62.1196,0,3,4,3,3,?,0,51,52,0
0.553965,0.484087,-1,53.533,2,2,2,1,1,?,1,55,64,1
0.426023,0.549102,-1,61.5512,3,1,2,1,4,3,0,77,30,1
0.734119,0.0616685,0,71.0654,4,2,1,4,2,2,0,45,46,0
0.20625,0.500802,?,55.3337,0,2,1,5,2,4,0,64,90,0
0.844504,0.304654,0,71.753,2,2,4,5,4,2,1,?,61,1
0.198014,0.749467,-1,66.9789,3,0,2,1,3,2,1,65,32,1
0.428421,0.771855,0,?,2,2,2,4,2,2,0,50,43,1
0.568263,0.322388,1,70.3702,1,1,1,1,3,2,1,35,71,0
0.801357,0.539374,1,70.4797,2,2,1,4,3,2,0,?,22,1
0.342515,0.669487,-1,64.9716,1,1,3,4,4,1,1,66,14,1
0.0755504,0.580841,1,64.1954,1,1,5,5,1,2,1,?,60,1
0.928299,0.595178,-1,73.9964,1,1,2,4,4,5,1,28,48,1
0.59243,0.245397,1,66.2168,2,-1,5,2,1,0,1,73,28,1
0.552615,0.801062,?,49.2192,1,0,5,2,3,3,0,58,51,1
0.685634,0.450207,0,58.9262,1,2,1,2,3,2,1,60,112,0
0.422115,0.402243,1,75.4052,1,3,5,4,3,1,1,52,39,0
0.113397,0.260562,1,?,0,1,3,1,2,4,0,?,32,1
?,0.57447,-1,72.3968,2,2,3,3,2,?,1,?,48,1
0.177273,0.212542,0,65.4105,1,4,2,1,3,2,1,35,60,0
0.496052,0.847581,-1,69.8983,0,1,3,5,3,3,0,31,31,0
0.24993,0.376511,?,71.7643,2,3,3,5,3,5,1,27,44,0
0.418636,0.493768,0,69.7207,3,2,1,4,4,3,1,43,62,1
0.354395,0.754611,1,58.6494,0,1,4,4,1,4,0,42,63,0
0.534986,0.580139,1,77.8356,1,?,2,1,3,3,0,32,85,1
0.754006,0.251204,1,70.3348,1,0,4,4,3,2,1,64,101,0
0.208614,0.284753,0,66.2667,2,3,?,1,3,3,1,56,61,0
0.490189,0.897251,0,71.3766,1,1,?,4,0,3,0,30,55,1
?,0.462593,-1,68.0421,0,2,3,3,1,2,?,51,65,0
